12:29: 03.937 [main] INFO  c.d.P.ProductserviceApplication - [TraceId: , SpanId: ] Starting ProductserviceApplication using Java 17.0.7 with PID 1758 (/Users/srinivasan/Downloads/Projects/E-commerce/Productservice/target/classes started by srinivasan in /Users/srinivasan/Downloads/Projects/E-commerce/ConfigServer)
12:29: 03.940 [main] INFO  c.d.P.ProductserviceApplication - [TraceId: , SpanId: ] No active profile set, falling back to 1 default profile: "default"
12:29: 03.962 [main] INFO  o.s.c.c.c.ConfigServerConfigDataLoader - [TraceId: , SpanId: ] Fetching config from server at : http://localhost:9296
12:29: 03.962 [main] INFO  o.s.c.c.c.ConfigServerConfigDataLoader - [TraceId: , SpanId: ] Located environment: name=PRODUCT-SERVICE, profiles=[default], label=null, version=42001ab5b377aa69dc50c38d19294a29cb2f515f, state=null
12:29: 04.428 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - [TraceId: , SpanId: ] Bootstrapping Spring Data JPA repositories in DEFAULT mode.
12:29: 04.499 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - [TraceId: , SpanId: ] Finished Spring Data repository scanning in 67 ms. Found 1 JPA repository interfaces.
12:29: 04.606 [main] INFO  o.s.cloud.context.scope.GenericScope - [TraceId: , SpanId: ] BeanFactory id=0fb839a9-baef-3ef9-8369-0b51e2f546e5
12:29: 04.805 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - [TraceId: , SpanId: ] Tomcat initialized with port(s): 8080 (http)
12:29: 04.809 [main] INFO  o.a.catalina.core.StandardService - [TraceId: , SpanId: ] Starting service [Tomcat]
12:29: 04.809 [main] INFO  o.a.catalina.core.StandardEngine - [TraceId: , SpanId: ] Starting Servlet engine: [Apache Tomcat/10.1.15]
12:29: 04.857 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - [TraceId: , SpanId: ] Initializing Spring embedded WebApplicationContext
12:29: 04.858 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - [TraceId: , SpanId: ] Root WebApplicationContext: initialization completed in 895 ms
12:29: 05.134 [main] INFO  o.h.jpa.internal.util.LogHelper - [TraceId: , SpanId: ] HHH000204: Processing PersistenceUnitInfo [name: default]
